1,DSPW,D,S,P,W
2,DSPT,D,S,P,T
3,DSP_,D,S,P,null
4,DSNW,D,S,N,W
5,DSNT,D,S,N,T
6,DSN_,D,S,N,null
7,DS_W,D,S,null,W
8,DS_T,D,S,null,T
9,DS__,D,S,null,null
10,DRPW,D,R,P,W
11,DRPT,D,R,P,T
12,DRP_,D,R,P,null
13,DRNW,D,R,N,W
14,DRNT,D,R,N,T
15,DRN_,D,R,N,null
16,DR_W,D,R,null,W
17,DR_T,D,R,null,T
18,DR__,D,R,null,null
19,D_PW,D,null,P,W
20,D_PT,D,null,P,T
21,D_P_,D,null,P,null
22,D_NW,D,null,N,W
23,D_NT,D,null,N,T
24,D_N_,D,null,N,null
25,D__W,D,null,null,W
26,D__T,D,null,null,T
27,D___,D,null,null,null
28,OSPW,O,S,P,W
29,OSPT,O,S,P,T
30,OSP_,O,S,P,null
31,OSNW,O,S,N,W
32,OSNT,O,S,N,T
33,OSN_,O,S,N,null
34,OS_W,O,S,null,W
35,OS_T,O,S,null,T
36,OS__,O,S,null,null
37,ORPW,O,R,P,W
38,ORPT,O,R,P,T
39,ORP_,O,R,P,null
40,ORNW,O,R,N,W
41,ORNT,O,R,N,T
42,ORN_,O,R,N,null
43,OR_W,O,R,null,W
44,OR_T,O,R,null,T
45,OR__,O,R,null,null
46,O_PW,O,null,P,W
47,O_PT,O,null,P,T
48,O_P_,O,null,P,null
49,O_NW,O,null,N,W
50,O_NT,O,null,N,T
51,O_N_,O,null,N,null
52,O__W,O,null,null,W
53,O__T,O,null,null,T
54,O___,O,null,null,null
55,_SPW,null,S,P,W
56,_SPT,null,S,P,T
57,_SP_,null,S,P,null
58,_SNW,null,S,N,W
59,_SNT,null,S,N,T
60,_SN_,null,S,N,null
61,_S_W,null,S,null,W
62,_S_T,null,S,null,T
63,_S__,null,S,null,null
64,_RPW,null,R,P,W
65,_RPT,null,R,P,T
66,_RP_,null,R,P,null
67,_RNW,null,R,N,W
68,_RNT,null,R,N,T
69,_RN_,null,R,N,null
70,_R_W,null,R,null,W
71,_R_T,null,R,null,T
72,_R__,null,R,null,null
73,__PW,null,null,P,W
74,__PT,null,null,P,T
75,__P_,null,null,P,null
76,__NW,null,null,N,W
77,__NT,null,null,N,T
78,__N_,null,null,N,null
79,___W,null,null,null,W
80,___T,null,null,null,T
81,____,null,null,null,null
